lat,lon,timestamp_value,time_value
47.05287,8.323086,736763069,08:24:29
47.05288,8.323447,736763078,08:24:38
47.05291,8.323816,736763088,08:24:48
47.05292,8.324214,736763099,08:24:59
47.05289,8.324579,736763109,08:25:09
47.05281,8.32493,736763119,08:25:19
47.05274,8.325283,736763131,08:25:31
47.05271,8.32568,736763140,08:25:40
47.05267,8.326038,736763150,08:25:50
47.05258,8.326364,736763160,08:26:00
47.05248,8.326698,736763170,08:26:10
47.05235,8.327004,736763180,08:26:20
47.05223,8.327342,736763192,08:26:32
47.05212,8.327671,736763201,08:26:41
47.05203,8.327992,736763211,08:26:51
47.05191,8.328354,736763222,08:27:02
47.05181,8.328702,736763232,08:27:12
47.05173,8.329032,736763242,08:27:22
47.05164,8.329377,736763254,08:27:34
47.05156,8.329755,736763263,08:27:43
47.05146,8.330076,736763273,08:27:53
47.05133,8.330359,736763283,08:28:03
47.05117,8.330627,736763294,08:28:14
47.051,8.330906,736763304,08:28:24
47.05085,8.331196,736763315,08:28:35
47.05073,8.331505,736763324,08:28:44
47.05061,8.331843,736763335,08:28:55
47.05047,8.332114,736763345,08:29:05
47.05028,8.332357,736763355,08:29:15
47.05008,8.332554,736763365,08:29:25
47.04985,8.33276,736763377,08:29:37
47.04967,8.332987,736763386,08:29:46
47.0495,8.333257,736763396,08:29:56
47.04936,8.333588,736763407,08:30:07
47.04922,8.333886,736763417,08:30:17
47.04906,8.334138,736763427,08:30:27
47.04886,8.334363,736763439,08:30:39
47.04867,8.334649,736763448,08:30:48
47.04854,8.334955,736763458,08:30:58
47.04841,8.335267,736763468,08:31:08
47.04825,8.335592,736763479,08:31:19
47.04807,8.335814,736763489,08:31:29
47.04784,8.335993,736763501,08:31:41
47.04761,8.336213,736763510,08:31:50
47.04742,8.336449,736763520,08:32:00
47.04722,8.336656,736763530,08:32:10
47.04703,8.336905,736763540,08:32:20
47.04687,8.337177,736763551,08:32:31
47.04666,8.337414,736763562,08:32:42
47.04645,8.337613,736763571,08:32:51
47.04624,8.33782,736763581,08:33:01
47.04605,8.33805,736763591,08:33:11
47.04583,8.338274,736763602,08:33:22
47.04565,8.338514,736763612,08:33:32
47.04549,8.338797,736763624,08:33:44
47.0453,8.339071,736763633,08:33:53
47.04513,8.339327,736763643,08:34:03
47.04498,8.339605,736763653,08:34:13
47.04481,8.339849,736763663,08:34:23
47.04461,8.340108,736763674,08:34:34
47.04443,8.340351,736763685,08:34:45
47.04425,8.340596,736763694,08:34:54
47.04408,8.340848,736763705,08:35:05
47.04388,8.341107,736763715,08:35:15
47.0437,8.341356,736763725,08:35:25
47.04351,8.341596,736763735,08:35:35
47.04332,8.341822,736763747,08:35:47
47.04312,8.34211,736763756,08:35:56
47.04298,8.342402,736763766,08:36:06
47.04283,8.34267,736763776,08:36:16
47.04267,8.34298,736763787,08:36:27
47.04253,8.343281,736763797,08:36:37
47.04239,8.343578,736763809,08:36:49
47.04224,8.343897,736763818,08:36:58
47.04207,8.344152,736763828,08:37:08
47.04189,8.344419,736763838,08:37:18
47.04172,8.344685,736763848,08:37:28
47.04153,8.344966,736763859,08:37:39
47.04134,8.345205,736763870,08:37:50
47.04114,8.345438,736763879,08:37:59
47.04094,8.345711,736763890,08:38:10
47.04078,8.345971,736763900,08:38:20
47.0406,8.346234,736763910,08:38:30
47.04039,8.346425,736763920,08:38:40
47.04013,8.346549,736763932,08:38:52
47.03989,8.34661,736763941,08:39:01
47.03964,8.346744,736763952,08:39:12
47.03944,8.346939,736763962,08:39:22
47.03926,8.347186,736763972,08:39:32
47.03907,8.347436,736763982,08:39:42
47.03887,8.34766,736763994,08:39:54
47.03864,8.347886,736764003,08:40:03
47.03844,8.3481,736764013,08:40:13
47.03823,8.348368,736764024,08:40:24
47.03806,8.348649,736764034,08:40:34
47.03794,8.348947,736764044,08:40:44
47.0379,8.349312,736764056,08:40:56
47.03802,8.349678,736764065,08:41:05
47.03823,8.349881,736764075,08:41:15
47.03847,8.349919,736764085,08:41:25
47.03875,8.349793,736764096,08:41:36
47.03898,8.349606,736764106,08:41:46
47.0392,8.349397,736764118,08:41:58
47.03948,8.34927,736764127,08:42:07
47.03973,8.349188,736764137,08:42:17
47.03999,8.3491,736764147,08:42:27
47.04023,8.348939,736764157,08:42:37
47.04046,8.34875,736764168,08:42:48
47.04073,8.348605,736764179,08:42:59
47.04097,8.34846,736764188,08:43:08
47.04118,8.348242,736764198,08:43:18
47.04138,8.347976,736764209,08:43:29
47.0416,8.347703,736764219,08:43:39
47.04183,8.347501,736764229,08:43:49
47.04204,8.347285,736764241,08:44:01
47.04229,8.34705,736764250,08:44:10
47.04251,8.346865,736764260,08:44:20
47.04277,8.346738,736764270,08:44:30
47.043,8.346549,736764280,08:44:40
